Number;Type;Score;Turns;HasWon;Runtime
2837;AI;12092;716;false;103791
2838;RND;884;133;false;2
2839;AI;20272;958;true;132882
2840;RND;664;102;false;12
2841;AI;20524;980;true;139045
2842;RND;1336;151;false;3
2843;AI;16792;1008;false;143271
2844;RND;2360;244;false;3
2845;AI;20312;953;true;135342
2846;RND;716;111;false;7
2847;AI;20324;975;true;135789
2848;RND;1448;176;false;15
2849;AI;20644;999;true;144162
2850;RND;1520;178;false;21
2851;AI;20428;963;true;135055
2852;RND;640;97;false;10
2853;AI;5632;396;false;58534
2854;RND;2128;209;false;9
2855;AI;15172;891;false;122681
2856;RND;2804;267;false;4
2857;AI;20592;993;true;136811
2858;RND;1276;168;false;3
2859;AI;20572;998;true;139590
2860;RND;1524;170;false;8
2861;AI;7552;512;false;77582
2862;RND;676;104;false;5
2863;AI;20612;993;true;139039
2864;RND;504;81;false;4
2865;AI;20588;993;true;140036
2866;RND;1072;136;false;6
2867;AI;20196;954;true;134557
2868;RND;1368;174;false;6
2869;AI;20288;964;true;136887
2870;RND;1204;135;false;5
2871;AI;20492;980;true;135796
2872;RND;1688;212;false;13
2873;AI;15784;929;false;125591
2874;RND;416;70;false;4
2875;AI;20440;970;true;133501
2876;RND;768;110;false;5
2877;AI;20244;953;true;133260
2878;RND;532;81;false;1
2879;AI;16652;985;false;136069
2880;RND;1208;147;false;3
2881;AI;20372;972;true;132320
2882;RND;1424;187;false;6
2883;AI;20428;982;true;135382
2884;RND;640;98;false;19
2885;AI;21392;1060;true;142923
2886;RND;1008;119;false;3
2887;AI;20288;964;true;136091
2888;RND;576;93;false;10
2889;AI;15524;905;false;125446
2890;RND;624;102;false;2
2891;AI;20912;1007;true;133888
2892;RND;1280;165;false;6
2893;AI;20272;960;true;132690
2894;RND;584;90;false;7
2895;AI;20248;962;true;134889
2896;RND;1164;151;false;7
2897;AI;20452;972;true;136777
2898;RND;1320;153;false;3
2899;AI;20488;978;true;137579
2900;RND;572;87;false;20
2901;AI;12300;735;false;103959
2902;RND;1308;169;false;2
2903;AI;16136;945;false;132578
2904;RND;680;105;false;2
2905;AI;5084;388;false;54814
2906;RND;796;117;false;4
2907;AI;20204;952;true;130680
2908;RND;1228;152;false;9
2909;AI;20236;958;true;131120
2910;RND;1488;188;false;10
2911;AI;21016;1014;true;137964
2912;RND;1588;206;false;3
2913;AI;20656;1000;true;133034
2914;RND;1180;157;false;8
2915;AI;20212;961;true;138604
2916;RND;1368;161;false;33
2917;AI;20452;973;true;134191
2918;RND;640;110;false;5
2919;AI;20588;1001;true;135872
2920;RND;332;71;false;5
2921;AI;14148;813;false;117263
2922;RND;1288;146;false;2
2923;AI;20536;988;true;135359
2924;RND;1452;179;false;6
2925;AI;7348;502;false;71455
2926;RND;540;85;false;3
2927;AI;20304;963;true;128253
2928;RND;1140;148;false;11
2929;AI;16960;1019;false;135036
2930;RND;1744;204;false;3
2931;AI;20260;958;true;139308
2932;RND;908;120;false;16
2933;AI;21016;1022;true;145555
2934;RND;1368;169;false;15
2935;AI;20200;942;true;133561
2936;RND;884;130;false;2
2937;AI;20612;992;true;130434
2938;RND;1328;165;false;2
2939;AI;20136;939;true;133970
2940;RND;332;56;false;2
2941;AI;16080;944;false;135493
2942;RND;1368;162;false;3
2943;AI;20156;946;true;131346
2944;RND;656;113;false;2
2945;AI;20984;1018;true;139392
2946;RND;896;123;false;2
2947;AI;13440;796;false;107555
2948;RND;524;78;false;6
2949;AI;20196;952;true;135264
2950;RND;1292;164;false;12
2951;AI;20316;964;true;136429
2952;RND;632;109;false;6
2953;AI;20208;948;true;129612
2954;RND;1284;148;false;7
2955;AI;20328;965;true;138813
2956;RND;1512;189;false;41
2957;AI;20516;986;true;134997
2958;RND;956;117;false;5
2959;AI;20296;959;true;130598
2960;RND;580;94;false;10
2961;AI;17000;1017;false;139547
2962;RND;592;87;false;2
2963;AI;20196;952;true;127869
2964;RND;1104;128;false;2
2965;AI;20284;957;true;134494
2966;RND;1100;151;false;6
2967;AI;20216;960;true;139229
2968;RND;812;126;false;2
2969;AI;20184;949;true;128958
2970;RND;680;100;false;3
2971;AI;20800;1020;true;146649
2972;RND;1156;159;false;6
2973;AI;20224;958;true;136074
2974;RND;968;124;false;2
2975;AI;16128;940;false;137598
2976;RND;1328;172;false;6
2977;AI;20156;938;true;135346
2978;RND;1344;169;false;17
2979;AI;20356;962;true;126974
2980;RND;2780;270;false;5
2981;AI;20456;971;true;130983
2982;RND;1352;171;false;6
2983;AI;20268;968;true;134542
2984;RND;1172;149;false;25
2985;AI;20572;985;true;130692
2986;RND;660;108;false;1
2987;AI;20616;999;true;138708
2988;RND;1392;153;false;19
2989;AI;20324;968;true;136031
2990;RND;1140;146;false;8
2991;AI;12312;737;false;106634
2992;RND;596;100;false;1
2993;AI;20208;943;true;131902
2994;RND;580;95;false;2
2995;AI;20332;969;true;138211
2996;RND;716;104;false;6
2997;AI;20436;964;true;136787
2998;RND;644;97;false;3
2999;AI;20164;944;true;133845
3000;RND;1340;162;false;4
3001;AI;20548;988;true;132578
3002;RND;1588;181;false;12
3003;AI;20252;954;true;133438
3004;RND;812;140;false;12
3005;AI;20532;985;true;135290
3006;RND;1312;163;false;4
3007;AI;20532;976;true;129011
3008;RND;596;97;false;35
3009;AI;16384;970;false;130897
3010;RND;684;103;false;2
3011;AI;20332;966;true;130877
3012;RND;688;95;false;3
3013;AI;20408;985;true;137241
3014;RND;1136;133;false;2
3015;AI;20460;978;true;133258
3016;RND;1340;165;false;7
3017;AI;20516;973;true;137315
3018;RND;2264;220;false;12
3019;AI;20512;999;true;135263
3020;RND;472;94;false;2
3021;AI;20224;960;true;129942
3022;RND;1328;159;false;4
3023;AI;20168;947;true;133980
3024;RND;632;94;false;2
3025;AI;20268;956;true;134361
3026;RND;336;63;false;2
3027;AI;14300;825;false;116976
3028;RND;916;130;false;2
3029;AI;20336;976;true;132906
3030;RND;956;131;false;38
3031;AI;20520;972;true;135405
3032;RND;876;134;false;7
3033;AI;21008;1027;true;142937
3034;RND;1260;143;false;23
3035;AI;20220;945;true;129650
3036;RND;476;83;false;10
3037;AI;20316;963;true;128538
3038;RND;1320;167;false;2
3039;AI;20516;986;true;140102
3040;RND;820;126;false;3
3041;AI;20288;964;true;134714
3042;RND;664;128;false;2
3043;AI;16492;986;false;135577
3044;RND;1284;157;false;2
3045;AI;16108;949;false;126828
3046;RND;508;95;false;2
3047;AI;20452;971;true;128110
3048;RND;660;100;false;10
3049;AI;20180;947;true;128950
3050;RND;584;90;false;2
3051;AI;20276;962;true;130924
3052;RND;568;90;false;2
3053;AI;20220;958;true;131064
3054;RND;776;111;false;8
3055;AI;20288;963;true;133607
3056;RND;624;99;false;13
3057;AI;20176;948;true;128918
3058;RND;1436;172;false;23
3059;AI;20540;981;true;137219
3060;RND;300;61;false;12
3061;AI;21084;1046;true;142645
3062;RND;1368;162;false;6
3063;AI;20516;982;true;137201
3064;RND;232;63;false;2
3065;AI;20056;919;true;125224
3066;RND;1296;156;false;3
3067;AI;20156;943;true;128960
3068;RND;1276;154;false;8
3069;AI;20596;993;true;137429
3070;RND;1292;148;false;7
3071;AI;20552;982;true;138831
3072;RND;604;89;false;4
3073;AI;15964;937;false;126733
3074;RND;464;97;false;4
3075;AI;3116;259;false;39145
3076;RND;1308;156;false;2
3077;AI;21000;1016;true;141812
3078;RND;1088;150;false;3
3079;AI;20828;1015;true;138331
3080;RND;1940;189;false;16
3081;AI;20224;957;true;128492
3082;RND;940;134;false;4
3083;AI;20212;955;true;132435
3084;RND;1028;130;false;9
3085;AI;15944;918;false;128532
3086;RND;1088;134;false;3
3087;AI;20352;972;true;129295
3088;RND;764;126;false;3
3089;AI;20236;947;true;131924
3090;RND;1268;151;false;5
3091;AI;20508;978;true;134824
3092;RND;1204;139;false;3
3093;AI;7544;534;false;77162
3094;RND;2132;237;false;15
3095;AI;20180;949;true;125567
3096;RND;616;103;false;5
3097;AI;14492;854;false;122049
3098;RND;488;93;false;1
3099;AI;20588;993;true;134528
3100;RND;1344;161;false;7
3101;AI;20552;993;true;139685
3102;RND;744;124;false;10
3103;AI;16236;969;false;131816
3104;RND;1256;151;false;2
3105;AI;16344;962;false;129627
3106;RND;1308;158;false;2
3107;AI;20296;966;true;135684
3108;RND;1200;152;false;2
3109;AI;20232;952;true;130834
3110;RND;1100;152;false;7
3111;AI;20292;964;true;135230
3112;RND;640;103;false;9
3113;AI;20432;963;true;125964
3114;RND;1080;127;false;5
3115;AI;20304;959;true;134462
3116;RND;1600;198;false;7
3117;AI;20204;944;true;133924
3118;RND;612;102;false;22
3119;AI;20132;938;true;130913
3120;RND;1088;141;false;6
3121;AI;16116;947;false;131039
3122;RND;620;100;false;1
3123;AI;21004;1024;true;139318
3124;RND;1292;164;false;7
3125;AI;20176;948;true;132764
3126;RND;916;125;false;38
3127;AI;20336;972;true;136374
3128;RND;1048;119;false;2
3129;AI;20180;947;true;132351
3130;RND;1392;172;false;11
3131;AI;20168;952;true;133802
3132;RND;1332;162;false;11
3133;AI;20460;972;true;137279
3134;RND;1296;169;false;7
3135;AI;20260;969;true;138182
3136;RND;2912;282;false;5
3137;AI;20440;981;true;134127
3138;RND;3036;313;false;5
3139;AI;20556;991;true;136940
3140;RND;1080;136;false;6
3141;AI;20500;981;true;135497
3142;RND;1512;182;false;5
3143;AI;20696;995;true;130370
3144;RND;2116;218;false;5
3145;AI;20500;993;true;133130
3146;RND;1340;173;false;17
