Date: Fri Apr 25 2014 07:24:02 GMT+0200 (CEST) ;Type: RND ;Guid: e96aa0d5-69ac-416c-8b4b-b9133054c58c ;Run: 17 ;Score: 1032 ;Turns: 126 ;WonStatus: false ;TimeTaken: 32
Date: Fri Apr 25 2014 07:24:43 GMT+0200 (CEST) ;Type: AI ;Guid: ea6c399b-d4ec-490f-90eb-fdd1a00974a5 ;Run: 16 ;Score: 16208 ;Turns: 959 ;WonStatus: false ;TimeTaken: 130408
Date: Fri Apr 25 2014 07:24:43 GMT+0200 (CEST) ;Type: RND ;Guid: a5ce2f0b-960d-4416-ba02-e8a4d94cd029 ;Run: 17 ;Score: 1248 ;Turns: 173 ;WonStatus: false ;TimeTaken: 48
Date: Fri Apr 25 2014 07:25:25 GMT+0200 (CEST) ;Type: AI ;Guid: 82e7f213-1641-4679-b11b-4430a942ba82 ;Run: 16 ;Score: 20260 ;Turns: 957 ;WonStatus: true ;TimeTaken: 132593
Date: Fri Apr 25 2014 07:25:25 GMT+0200 (CEST) ;Type: RND ;Guid: a37613e9-61d4-4a02-b078-02c5d63d1b15 ;Run: 17 ;Score: 1232 ;Turns: 147 ;WonStatus: false ;TimeTaken: 77
Date: Fri Apr 25 2014 07:26:19 GMT+0200 (CEST) ;Type: AI ;Guid: 8f7685f2-33f9-4b2b-bca6-d106f47cbf7f ;Run: 18 ;Score: 16472 ;Turns: 981 ;WonStatus: false ;TimeTaken: 136755
Date: Fri Apr 25 2014 07:26:19 GMT+0200 (CEST) ;Type: RND ;Guid: 3bad8f9f-da51-4530-b836-6917ac2a5d81 ;Run: 19 ;Score: 460 ;Turns: 81 ;WonStatus: false ;TimeTaken: 27
Date: Fri Apr 25 2014 07:26:19 GMT+0200 (CEST) ;Type: AI ;Guid: 17c84e73-a39b-4309-9e23-fdbd86678cee ;Run: 18 ;Score: 20292 ;Turns: 960 ;WonStatus: true ;TimeTaken: 139729
Date: Fri Apr 25 2014 07:26:19 GMT+0200 (CEST) ;Type: RND ;Guid: 028033e1-a7ab-426e-a3a5-78772b17190a ;Run: 19 ;Score: 1404 ;Turns: 165 ;WonStatus: false ;TimeTaken: 40
Date: Fri Apr 25 2014 07:26:55 GMT+0200 (CEST) ;Type: AI ;Guid: 95e8c535-6843-4988-97e7-08ef6184c6e1 ;Run: 18 ;Score: 20184 ;Turns: 939 ;WonStatus: true ;TimeTaken: 132066
Date: Fri Apr 25 2014 07:26:55 GMT+0200 (CEST) ;Type: RND ;Guid: 07e3f536-bf32-4b14-8b45-ffcd90d7d44f ;Run: 19 ;Score: 676 ;Turns: 112 ;WonStatus: false ;TimeTaken: 50
Date: Fri Apr 25 2014 07:27:42 GMT+0200 (CEST) ;Type: AI ;Guid: 355d71c0-3af6-47b8-834c-459d37182bb5 ;Run: 18 ;Score: 20260 ;Turns: 965 ;WonStatus: true ;TimeTaken: 136978
Date: Fri Apr 25 2014 07:27:42 GMT+0200 (CEST) ;Type: RND ;Guid: dcec3bff-baa9-4832-92a2-8a2fb31712c3 ;Run: 19 ;Score: 1340 ;Turns: 166 ;WonStatus: false ;TimeTaken: 50
Date: Fri Apr 25 2014 07:28:34 GMT+0200 (CEST) ;Type: AI ;Guid: f7a02e2b-74e5-4ea4-a9d7-55525d0422a1 ;Run: 20 ;Score: 20540 ;Turns: 988 ;WonStatus: true ;TimeTaken: 135830
Date: Fri Apr 25 2014 07:28:35 GMT+0200 (CEST) ;Type: RND ;Guid: 97004e14-1ea7-4cd0-9e1c-2c017daa4e46 ;Run: 21 ;Score: 1836 ;Turns: 192 ;WonStatus: false ;TimeTaken: 48
Date: Fri Apr 25 2014 07:28:38 GMT+0200 (CEST) ;Type: AI ;Guid: 656a8152-8ae3-48b2-9385-cc584a6a352f ;Run: 20 ;Score: 20496 ;Turns: 980 ;WonStatus: true ;TimeTaken: 138764
Date: Fri Apr 25 2014 07:28:38 GMT+0200 (CEST) ;Type: RND ;Guid: bc4d28c5-2b8b-475d-8fa7-254f6821c6fb ;Run: 21 ;Score: 1144 ;Turns: 130 ;WonStatus: false ;TimeTaken: 36
Date: Fri Apr 25 2014 07:29:12 GMT+0200 (CEST) ;Type: AI ;Guid: af7321ee-40a3-4a5c-aa1f-6f57929a463f ;Run: 20 ;Score: 20260 ;Turns: 962 ;WonStatus: true ;TimeTaken: 136349
Date: Fri Apr 25 2014 07:29:12 GMT+0200 (CEST) ;Type: RND ;Guid: cd5a7907-1be9-4b56-aad5-8fdc8396067a ;Run: 21 ;Score: 872 ;Turns: 121 ;WonStatus: false ;TimeTaken: 37
Date: Fri Apr 25 2014 07:30:00 GMT+0200 (CEST) ;Type: AI ;Guid: 0b546c22-38f4-4d82-860c-2ddcb124c641 ;Run: 20 ;Score: 20924 ;Turns: 1010 ;WonStatus: true ;TimeTaken: 137832
Date: Fri Apr 25 2014 07:30:00 GMT+0200 (CEST) ;Type: RND ;Guid: 3fad07f1-bd12-4ca6-8647-3de7ff21fa0d ;Run: 21 ;Score: 2556 ;Turns: 249 ;WonStatus: false ;TimeTaken: 57
Date: Fri Apr 25 2014 07:30:48 GMT+0200 (CEST) ;Type: AI ;Guid: 624ea4e8-0faf-4299-9db2-5b02dda80fe5 ;Run: 22 ;Score: 20648 ;Turns: 999 ;WonStatus: true ;TimeTaken: 133907
Date: Fri Apr 25 2014 07:30:48 GMT+0200 (CEST) ;Type: RND ;Guid: 98fa2bf8-733c-486f-8375-095a30230252 ;Run: 23 ;Score: 760 ;Turns: 102 ;WonStatus: false ;TimeTaken: 22
Date: Fri Apr 25 2014 07:30:51 GMT+0200 (CEST) ;Type: AI ;Guid: f7d84ff6-35df-4cc0-b000-836e713d5a00 ;Run: 22 ;Score: 20312 ;Turns: 961 ;WonStatus: true ;TimeTaken: 133221
Date: Fri Apr 25 2014 07:30:51 GMT+0200 (CEST) ;Type: RND ;Guid: 2461fb2b-66e5-4bd5-a62e-f33bbca5ec83 ;Run: 23 ;Score: 1684 ;Turns: 218 ;WonStatus: false ;TimeTaken: 55
Date: Fri Apr 25 2014 07:31:31 GMT+0200 (CEST) ;Type: AI ;Guid: 8a8d5b82-4ffb-4331-ba89-a34c6c50cf64 ;Run: 22 ;Score: 20224 ;Turns: 960 ;WonStatus: true ;TimeTaken: 139142
Date: Fri Apr 25 2014 07:31:31 GMT+0200 (CEST) ;Type: RND ;Guid: 7a95ffd1-9ce0-46fb-8e87-d4823e948201 ;Run: 23 ;Score: 692 ;Turns: 93 ;WonStatus: false ;TimeTaken: 19
Date: Fri Apr 25 2014 07:32:19 GMT+0200 (CEST) ;Type: AI ;Guid: 25b4be57-fa69-4963-9aa4-33d9662ddedb ;Run: 22 ;Score: 20216 ;Turns: 957 ;WonStatus: true ;TimeTaken: 138666
Date: Fri Apr 25 2014 07:32:19 GMT+0200 (CEST) ;Type: RND ;Guid: b5c24f62-a04f-45ca-82f4-84cf1f2d0cab ;Run: 23 ;Score: 556 ;Turns: 97 ;WonStatus: false ;TimeTaken: 22
